time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-05T21:00:22.660Z,39.489,73.4459,10,4.4,mb,,91,1.27,1.24,us,us100060k5,2016-07-05T21:19:32.229Z,"31km SSE of Sary-Tash, Kyrgyzstan",earthquake,6.3,1.9,0.103,27,reviewed,us,us
2016-07-05T20:17:14.840Z,37.3679,-98.2025,5,3.5,mb_lg,,121,0.177,0.23,us,us10006069,2016-07-05T22:18:22.957Z,"18km WNW of Harper, Kansas",earthquake,1.7,2,0.051,99,reviewed,us,us
2016-07-05T19:31:44.620Z,2.0851,128.3228,192.36,4.3,mb,,105,1.617,0.6,us,us1000605t,2016-07-05T20:05:52.472Z,"52km NE of Tobelo, Indonesia",earthquake,3.6,8,0.072,55,reviewed,us,us
2016-07-05T19:06:45.000Z,-32.927,-177.8664,10,5.2,mb,,60,3.67,0.65,us,us1000605l,2016-07-05T20:06:42.040Z,"192km SSE of L'Esperance Rock, New Zealand",earthquake,9.5,1.7,0.05,135,reviewed,us,us
2016-07-05T18:31:22.000Z,63.0269,-150.9462,118.8,2.8,ml,,,,0.54,ak,ak13739906,2016-07-05T19:10:47.289Z,"89km NNW of Talkeetna, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-07-05T18:15:19.690Z,-41.6855,-74.0542,39.51,4.3,mb,,161,0.517,0.68,us,us1000604v,2016-07-05T18:50:07.119Z,"28km NW of Ancud, Chile",earthquake,6.4,7.8,0.154,12,reviewed,us,us
2016-07-05T17:21:57.210Z,36.2626,-97.5821,5,3.5,mb_lg,,45,0.159,0.35,us,us1000604i,2016-07-05T19:22:55.312Z,"26km W of Perry, Oklahoma",earthquake,1,2,0.051,101,reviewed,us,us
2016-07-05T15:52:03.730Z,38.2305,73.6797,155.4,4.3,mb,,59,1.744,0.91,us,us10006049,2016-07-05T17:46:02.415Z,"26km WNW of Murghob, Tajikistan",earthquake,6.7,4.9,0.099,29,reviewed,us,us
2016-07-05T15:22:17.940Z,21.8613,145.3276,36.21,5.2,mb,,34,5.945,0.48,us,us10006041,2016-07-05T17:20:25.579Z,"153km NNE of Farallon de Pajaros, Northern Mariana Islands",earthquake,8,5.4,0.033,298,reviewed,us,us
2016-07-05T14:48:43.400Z,17.9158,-65.5367,31,2.7,Md,13,212.4,0.37280084,0.28,pr,pr16187004,2016-07-05T15:43:56.040Z,"21km SSW of Esperanza, Puerto Rico",earthquake,1.6,3.5,0,8,reviewed,pr,pr
2016-07-05T14:44:49.000Z,52.7775,-166.6581,16.7,2.5,ml,,,,0.44,ak,ak13739405,2016-07-05T16:34:10.763Z,"122km S of Unalaska, Alaska",earthquake,3.1,4,,,reviewed,ak,ak
2016-07-05T14:23:56.300Z,43.3325,-126.6572,10,3.1,ml,,255,1.762,1.12,us,us1000603j,2016-07-05T14:41:35.624Z,"184km W of Bandon, Oregon",earthquake,5.6,2,0.046,62,reviewed,us,us
2016-07-05T11:48:54.100Z,-0.3386,125.4749,35,4.4,mb,,69,2.189,1.29,us,us1000601b,2016-07-05T14:28:27.620Z,"161km N of Dofa, Indonesia",earthquake,4.5,2,0.123,19,reviewed,us,us
2016-07-05T11:33:03.920Z,35.5119,129.8661,10,4.8,mb,,24,0.669,0.91,us,us1000601a,2016-07-05T16:21:35.040Z,"49km E of Ulsan, South Korea",earthquake,4.9,1.9,0.076,54,reviewed,us,us
2016-07-05T11:18:03.620Z,-0.2665,125.5466,35,4.5,mb,,51,2.091,1.01,us,us10006015,2016-07-05T14:22:12.574Z,"168km SE of Modayag, Indonesia",earthquake,5.6,2,0.113,23,reviewed,us,us
2016-07-05T09:43:44.760Z,24.8082,95.2124,98.55,4.4,mb,,64,1.01,0.57,us,us1000600x,2016-07-05T10:25:41.290Z,"116km E of Yairipok, India",earthquake,9.2,8.9,0.114,22,reviewed,us,us
2016-07-05T06:46:59.000Z,60.2148,-150.863,62.4,2.5,ml,,,,0.6,ak,ak13738863,2016-07-05T07:14:28.565Z,"29km SE of Cohoe, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-07-05T06:01:23.230Z,36.9696667,-112.9161667,14.6,2.5,ml,14,208,0.2658,0.24,uu,uu60154882,2016-07-05T21:54:57.882Z,"5km ESE of Colorado City, Arizona",earthquake,1.2,0.92,0.233,6,reviewed,uu,uu
2016-07-05T04:51:12.990Z,36.1518333,-89.6965,9.11,2.97,md,56,26,0.03208,0.21,nm,nm60123697,2016-07-05T05:09:49.500Z,"5km SW of Caruthersville, Missouri",earthquake,0.28,0.49,0.142,45,reviewed,nm,nm
2016-07-05T04:10:21.770Z,36.9731667,-112.9095,17.69,2.96,ml,17,132,0.2705,0.13,uu,uu60154867,2016-07-05T21:51:24.883Z,"6km ESE of Colorado City, Arizona",earthquake,0.57,0.76,0.187,6,reviewed,uu,uu
2016-07-05T04:06:44.650Z,19.4731667,-155.646,5.555,2.63,ml,27,48,0.04761,0.21,hv,hv61323916,2016-07-05T15:27:31.114Z,"23km E of Honaunau-Napoopoo, Hawaii",earthquake,0.38,1.39,0.176,16,reviewed,hv,hv
2016-07-05T03:40:06.100Z,18.7215,-67.568,9,2.8,Md,12,295.2,0.34585138,0.49,pr,pr16187000,2016-07-05T07:45:43.586Z,"53km NW of Rincon, Puerto Rico",earthquake,2.2,1.7,0,8,reviewed,pr,pr
2016-07-05T03:20:39.000Z,56.7011,-135.8169,31.4,3.6,ml,,,,0.73,ak,ak13738825,2016-07-05T04:05:52.160Z,"49km SW of Sitka, Alaska",earthquake,0.9,0.2,,,reviewed,ak,ak
2016-07-05T02:29:03.530Z,-20.1948,-70.9115,11.2,5,mwr,,136,0.736,0.9,us,us10005zyk,2016-07-05T16:42:52.000Z,"80km W of Iquique, Chile",earthquake,4.5,2.6,0.041,58,reviewed,us,us
2016-07-04T23:37:28.320Z,36.9241,-98.0315,2.54,2.8,mb_lg,,76,0.063,0.2,us,us10005zxr,2016-07-04T23:45:14.454Z,"25km S of Anthony, Kansas",earthquake,1.1,4,0.061,70,reviewed,us,us
2016-07-04T23:35:51.780Z,46.8062,152.8785,35,4.4,mb,,169,7.031,1.41,us,us10005zxw,2016-07-05T00:09:42.374Z,"Kuril Islands",earthquake,4.8,1.9,0.087,38,reviewed,us,us
2016-07-04T23:35:14.650Z,16.6123,-97.8297,31.94,4.3,mb,,198,1.178,1.14,us,us10005zxs,2016-07-04T23:55:47.144Z,"23km NNE of Pinotepa de Don Luis, Mexico",earthquake,13.1,12.4,0.062,73,reviewed,us,us
2016-07-04T23:04:50.300Z,18.7085,-66.969,60,2.7,Md,7,266.4,0.27488448,0.21,pr,pr16186009,2016-07-05T03:23:59.292Z,"23km NNE of Isabela, Puerto Rico",earthquake,1.3,1.2,0,4,reviewed,pr,pr
2016-07-04T23:02:23.480Z,-20.6978,-69.1784,93.55,4.7,mb,,42,0.449,0.64,us,us10005zxd,2016-07-05T17:13:50.040Z,"113km ESE of Iquique, Chile",earthquake,3,5.2,0.08,47,reviewed,us,us
2016-07-04T22:48:53.910Z,35.6237,-97.0815,2.59,2.5,mb_lg,,57,0.094,0.33,us,us10005zxb,2016-07-04T23:09:20.177Z,"11km ESE of Luther, Oklahoma",earthquake,1.5,4.1,0.077,44,reviewed,us,us
2016-07-04T21:35:26.150Z,-2.1018,138.966,43.29,4.4,mb,,192,6.759,0.89,us,us10005zx3,2016-07-04T22:03:05.323Z,"189km WNW of Abepura, Indonesia",earthquake,11,8.5,0.112,23,reviewed,us,us
2016-07-04T21:15:52.520Z,29.6131,143.3523,9.1,4.6,mb,,142,2.711,0.97,us,us10005zwx,2016-07-04T21:47:01.834Z,"Izu Islands, Japan region",earthquake,8.8,4.1,0.079,48,reviewed,us,us
2016-07-04T21:02:39.860Z,39.5984,73.068,10,4.2,mb,,112,0.983,1.21,us,us10005zwt,2016-07-04T21:26:04.162Z,"21km SW of Sary-Tash, Kyrgyzstan",earthquake,5.2,2,0.176,9,reviewed,us,us
2016-07-04T21:01:56.900Z,18.2532,-67.4148,131,3,Md,7,280.8,0.32069856,0.2,pr,pr16186008,2016-07-05T00:57:46.045Z,"19km WSW of Rincon, Puerto Rico",earthquake,2.5,1.2,0,5,reviewed,pr,pr
2016-07-04T21:01:44.810Z,35.8532,-97.2296,1.9,2.8,mb_lg,,42,0.191,0.26,us,us10005zwr,2016-07-04T21:11:32.598Z,"10km SSE of Langston, Oklahoma",earthquake,1.3,4.6,0.066,59,reviewed,us,us
2016-07-04T19:53:57.900Z,-21.3182,168.6743,8.54,5,mb,,108,0.621,0.81,us,us10005zwi,2016-07-04T20:25:53.273Z,"85km ENE of Tadine, New Caledonia",earthquake,4.4,4.8,0.098,33,reviewed,us,us
2016-07-04T18:57:08.000Z,53.164,172.7511,25,3.7,ml,,,,0.39,ak,ak13738031,2016-07-04T19:56:33.462Z,"45km NW of Attu Station, Alaska",earthquake,10.5,,,,reviewed,ak,ak
2016-07-04T18:40:44.270Z,52.5649,172.7571,34.99,5.3,mb,,146,0.836,1.02,us,us10005zvt,2016-07-04T19:20:52.021Z,"42km SW of Attu Station, Alaska",earthquake,9.1,9.6,0.059,95,reviewed,us,us
2016-07-04T18:34:52.060Z,36.2651,-97.34,7.4,2.7,mb_lg,,47,0.316,0.24,us,us10005zvp,2016-07-04T18:49:03.040Z,"5km WSW of Perry, Oklahoma",earthquake,0.9,7,0.081,40,reviewed,us,us
2016-07-04T18:13:26.000Z,52.7228,171.5776,25,3.4,ml,,,,0.46,ak,ak13738176,2016-07-04T20:26:57.960Z,"109km W of Attu Station, Alaska",earthquake,15.4,,,,reviewed,ak,ak
2016-07-04T17:38:45.460Z,-30.1456,-177.7707,33.33,5.2,mwb,,58,0.908,1.37,us,us10005zve,2016-07-04T18:13:50.327Z,"98km S of Raoul Island, New Zealand",earthquake,10.4,3.9,0.069,20,reviewed,us,us
2016-07-04T14:15:43.670Z,-22.6621,171.5415,33.98,4.8,mb,,109,3.462,0.55,us,us10005zud,2016-07-04T15:15:56.552Z,"59km WSW of Ile Hunter, New Caledonia",earthquake,10.3,2.3,0.091,37,reviewed,us,us
2016-07-04T13:48:47.310Z,36.1361,139.705,48.58,4.5,mb,,90,0.404,0.72,us,us10005zu6,2016-07-04T14:55:11.733Z,"0km NE of Kurihashi, Japan",earthquake,5.8,7.2,0.113,23,reviewed,us,us
2016-07-04T13:32:28.040Z,40.0413333,-111.2288333,5.35,2.54,ml,29,83,0.3117,0.17,uu,uu60154832,2016-07-05T21:49:16.875Z,"31km ESE of Mapleton, Utah",earthquake,0.32,6.2,0.148,5,reviewed,uu,uu
2016-07-04T12:48:02.350Z,-20.9661,-175.922,204.36,4.9,mb,,113,5.941,1.02,us,us10005ztt,2016-07-04T13:06:17.546Z,"76km WNW of Havelu, Tonga",earthquake,14.4,11.5,0.092,37,reviewed,us,us
2016-07-04T12:16:44.870Z,2.0218,127.7931,46.44,4.6,mb,,103,1.312,0.84,us,us10005ztg,2016-07-04T12:34:52.103Z,"40km NW of Tobelo, Indonesia",earthquake,4,7.8,0.084,42,reviewed,us,us
2016-07-04T11:48:14.000Z,61.9227,-149.3265,32,2.5,ml,,,,0.69,ak,ak13737545,2016-07-04T12:25:09.305Z,"20km NNW of Fishhook, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-07-04T10:57:19.000Z,67.6229,-166.9506,5.6,3.4,ml,,,,0.81,ak,ak13737411,2016-07-04T16:15:20.773Z,"81km S of Point Hope, Alaska",earthquake,7.3,5.8,,,reviewed,ak,ak
2016-07-04T10:52:52.760Z,-0.5323,-12.6569,10,4.9,mb,,90,7.544,0.83,us,us10005zt8,2016-07-04T11:23:02.142Z,"North of Ascension Island",earthquake,11.1,1.9,0.068,68,reviewed,us,us
2016-07-04T10:50:02.000Z,59.774,-153.0876,105.1,2.7,ml,,,,0.62,ak,ak13737402,2016-07-04T11:26:31.451Z,"70km W of Anchor Point, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-07-04T10:20:41.000Z,57.941,-151.055,34.7,2.9,ml,,,,0.54,ak,ak13737399,2016-07-04T10:55:01.349Z,"82km ENE of Kodiak, Alaska",earthquake,0.8,285,,,automatic,ak,ak
2016-07-04T09:49:59.850Z,36.49,-98.7774,5,2.5,mb_lg,,139,0.03,0.46,us,us10005zsw,2016-07-04T10:28:14.497Z,"36km SSW of Alva, Oklahoma",earthquake,2,1.9,0.081,40,reviewed,us,us
2016-07-04T09:38:37.490Z,3.4481,-82.7973,10,4.8,mb,,153,5.092,1.41,us,us10005zss,2016-07-04T09:56:17.457Z,"South of Panama",earthquake,9.1,1.9,0.036,235,reviewed,us,us
2016-07-04T09:25:41.800Z,-10.6376,164.9739,66.85,5.6,mb,,75,5.091,0.91,us,us10005zsp,2016-07-05T16:22:18.000Z,"94km W of Lata, Solomon Islands",earthquake,8,3.2,0.04,220,reviewed,us,us
2016-07-04T09:13:54.030Z,19.4741667,-155.6406667,6.195,2.63,ml,41,60,0.04249,0.13,hv,hv61321831,2016-07-04T17:00:03.310Z,"23km E of Honaunau-Napoopoo, Hawaii",earthquake,0.25,0.8,0.226,16,reviewed,hv,hv
2016-07-04T07:11:51.890Z,39.3485,143.4638,22.75,4.6,mb,,143,2.336,0.92,us,us10005zs1,2016-07-04T07:35:00.624Z,"131km E of Yamada, Japan",earthquake,8.3,6.2,0.116,24,reviewed,us,us
2016-07-04T04:43:36.470Z,46.5141,152.7939,50.93,4.6,mb,,134,6.91,1.15,us,us10005zrq,2016-07-04T04:59:41.418Z,"Kuril Islands",earthquake,2.8,7.9,0.072,57,reviewed,us,us
2016-07-04T04:38:48.060Z,-14.2914,167.7517,93.91,4.7,mb,,139,6.468,1.01,us,us10005zrp,2016-07-04T04:55:11.380Z,"50km SSE of Sola, Vanuatu",earthquake,14.7,9.5,0.099,31,reviewed,us,us
2016-07-04T04:29:43.000Z,35.6659,-97.1552,2.48,2.5,mb_lg,,37,0.031,0.28,us,us10005zrl,2016-07-04T04:50:27.186Z,"3km E of Luther, Oklahoma",earthquake,1.2,3.4,0.076,45,reviewed,us,us
2016-07-04T02:24:23.890Z,29.0458,129.2817,37.53,4.7,mb,,117,2.375,0.84,us,us10005zr5,2016-07-04T03:14:32.709Z,"77km NNW of Naze, Japan",earthquake,8.5,5.6,0.082,45,reviewed,us,us
2016-07-04T02:24:20.810Z,39.4673,73.4369,10,4.7,mb,,72,1.263,1.25,us,us10005zqh,2016-07-04T02:45:24.110Z,"33km SSE of Sary-Tash, Kyrgyzstan",earthquake,4,1.9,0.062,78,reviewed,us,us
2016-07-04T02:14:30.380Z,29.2387,129.4747,39.32,4.7,mb,,111,2.415,0.99,us,us10005zqf,2016-07-04T03:01:50.885Z,"96km N of Naze, Japan",earthquake,5,8.2,0.077,52,reviewed,us,us
2016-07-04T02:00:55.940Z,36.3263,140.0904,77.55,4.4,mb,,118,0.125,0.67,us,us10005zqe,2016-07-04T03:30:56.900Z,"2km SSW of Iwase, Japan",earthquake,7.1,5.3,0.203,7,reviewed,us,us
2016-07-04T01:56:13.000Z,61.5238,-147.943,14.2,2.7,ml,,,,0.78,ak,ak13736830,2016-07-04T02:32:24.275Z,"54km ESE of Lazy Mountain, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-07-04T00:55:03.150Z,42.8475,145.4291,39.96,4.6,mb,,134,1.876,0.93,us,us10005zpu,2016-07-04T23:26:07.570Z,"54km SSW of Nemuro, Japan",earthquake,9.9,8.6,0.068,65,reviewed,us,us
2016-07-04T00:13:02.000Z,-31.43,-71.67,25,4.8,mb,,,,0.86,us,us10005zpe,2016-07-04T00:50:52.749Z,"52km WNW of Illapel, Chile",earthquake,4.6,4.3,0.053,107,reviewed,guc,us
2016-07-03T23:43:23.590Z,14.3035,-92.4789,19.17,4.5,mb,,140,0.79,1.14,us,us10005zpc,2016-07-04T00:28:17.129Z,"38km SW of Ocos, Guatemala",earthquake,5.9,3.5,0.037,220,reviewed,us,us
2016-07-03T23:10:57.350Z,2.2353,95.0565,31.19,4.4,mb,,172,2.682,0.49,us,us10005zp9,2016-07-03T23:32:10.833Z,"149km W of Sinabang, Indonesia",earthquake,10.7,3.4,0.117,21,reviewed,us,us
2016-07-03T21:02:56.000Z,18.9449,-66.8259,7,2.8,Md,6,291.6,0.54527738,0.43,pr,pr16185015,2016-07-04T00:20:26.955Z,"50km N of Hatillo, Puerto Rico",earthquake,2.7,2.9,0,4,reviewed,pr,pr
2016-07-03T20:56:50.500Z,18.947,-66.8383,9,2.9,Md,8,255.6,0.54258243,0.34,pr,pr16185014,2016-07-04T00:19:06.488Z,"51km N of Hatillo, Puerto Rico",earthquake,1.6,2.7,0,5,reviewed,pr,pr
2016-07-03T17:32:16.010Z,36.1778,-96.752,8.86,3.1,mb_lg,,75,0.036,0.54,us,us10005zn0,2016-07-03T17:38:49.684Z,"8km NW of Yale, Oklahoma",earthquake,2.1,5.3,0.057,79,reviewed,us,us
2016-07-03T17:03:42.540Z,57.4729,-33.3505,10,4.5,mb,,91,8.443,0.94,us,us10005zmy,2016-07-03T17:15:31.271Z,"Reykjanes Ridge",earthquake,12.9,2,0.118,21,reviewed,us,us
2016-07-03T16:13:33.160Z,51.6157,-178.5267,28.81,5.3,mb,,35,0.886,0.69,us,us10005zmh,2016-07-03T19:04:01.789Z,"39km SW of Tanaga Volcano, Alaska",earthquake,7.3,3.2,0.022,683,reviewed,us,us
2016-07-03T15:56:44.950Z,39.4665,73.4358,10,4.5,mb,,145,1.262,1.3,us,us10005zmd,2016-07-03T17:04:55.182Z,"33km SSE of Sary-Tash, Kyrgyzstan",earthquake,6.5,1.9,0.113,24,reviewed,us,us
2016-07-03T11:42:52.340Z,34.707,32.9206,10,3.8,mb,,131,0.422,0.6,us,us10005zp0,2016-07-03T21:00:59.552Z,"3km WNW of Ypsonas, Cyprus",earthquake,3.1,2,0.508,1,reviewed,us,us
2016-07-03T11:11:03.700Z,19.1252,-64.1268,50,2.8,Md,8,324,0.84351805,0.17,pr,pr16185009,2016-07-03T15:06:37.077Z,"93km NNE of Road Town, British Virgin Islands",earthquake,5.6,9.5,0,6,reviewed,pr,pr
2016-07-03T10:53:20.000Z,19.08,-64.1305,58,2.7,Md,7,327.6,0.80399218,0.21,pr,pr16185008,2016-07-03T13:26:04.928Z,"89km NE of Road Town, British Virgin Islands",earthquake,7.2,9,0,6,reviewed,pr,pr
2016-07-03T10:12:34.200Z,19.1725,-64.1429,44,2.7,Md,8,324,0.87495909,0.15,pr,pr16185005,2016-07-03T10:43:13.296Z,"97km NNE of Road Town, British Virgin Islands",earthquake,4.6,10.9,0,7,reviewed,pr,pr
2016-07-03T09:55:28.200Z,18.9965,-64.1768,77,3,Md,5,327.6,0.71056739,0.07,pr,pr16185007,2016-07-03T13:25:02.341Z,"79km NE of Road Town, British Virgin Islands",earthquake,6.4,5.5,0,4,reviewed,pr,pr
